Country Code ISO3,Country,IndexScore,IndexRank,SpilloverScore,Regions used for the SDR,id,image
DEU,Germany,82.48179502262445,4,60.37418181818182,OECD,276,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x31 at 0x7FF1343642B0>
DJI,Djibouti,53.764454808590095,138,98.23666666666668,Africa,262,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF134364340>
DMA,Dominica,,0,,LAC,212,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1343644F0>
DNK,Denmark,84.86052209653091,3,60.50881818181818,OECD,208,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x38 at 0x7FF134364610>
DOM,Dominican Republic,70.76020203081234,67,95.5946,LAC,214,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x34 at 0x7FF1343660E0>
DZA,Algeria,70.85822899159663,66,97.49366666666668,MENA,12,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F0070>
ECU,Ecuador,72.53935259103642,53,97.1404,LAC,218,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x26 at 0x7FF1342F0190>
EGY,"Egypt, Arab Rep.",68.64710728291317,82,98.7238,MENA,818,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F02B0>
ERI,Eritrea,,0,,Africa,232,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F03D0>
ESP,Spain,79.46162443438914,20,64.75363636363636,OECD,724,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F04F0>
EST,Estonia,81.57585203619908,10,72.07627272727274,OECD,233,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F0610>
ETH,Ethiopia,54.52100686274509,136,99.7221,Africa,231,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x29 at 0x7FF1342F0730>
FIN,Finland,85.90116266968323,1,69.84272727272726,OECD,246,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x31 at 0x7FF1342F0850>
FJI,Fiji,71.24431349924585,62,93.1878,Oceania,242,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F0970>
FRA,France,81.67294439775912,8,55.88954545454546,OECD,250,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F0A90>
FSM,"Micronesia, Fed. Sts.",,0,,Oceania,583,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x30 at 0x7FF1342F0B20>
GAB,Gabon,62.815150023912,111,93.03766666666668,Africa,266,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F0CD0>
GBR,United Kingdom,79.97291029411765,17,54.11636363636364,OECD,826,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F0DF0>
GEO,Georgia,72.2334106442577,56,90.732,E. Europe & C. Asia,268,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F0F10>
GHA,Ghana,62.49432184873951,114,97.4496,Africa,288,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1030>
GIN,Guinea,50.961491596638666,153,99.52966666666666,Africa,324,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1150>
GMB,"Gambia, The",59.26394411764706,123,97.9003,Africa,270,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1270>
